iter	RMSE
0	87.74645645
1	87.36440345
2	86.97146804
3	86.60048437
4	86.20686061
5	85.82899454
6	85.43761751
7	85.08289291
8	84.71417648
9	84.36440175
10	84.02787298
11	83.66341934
12	83.30780233
13	82.94341015
14	82.61392608
15	82.24444246
16	81.89661406
17	81.53496211
18	81.18074337
19	80.84237328
20	80.50347392
21	80.15154142
22	79.80374393
23	79.48585668
24	79.13968155
25	78.80081012
26	78.44976864
27	78.11532955
28	77.77320177
29	77.45858439
30	77.12068774
31	76.79390224
32	76.47214816
33	76.13714352
34	75.81774409
35	75.4893446
36	75.16113552
37	74.84002658
38	74.53912899
39	74.21846058
40	73.89509056
41	73.58277578
42	73.27488601
43	72.95372449
44	72.6566631
45	72.34615328
46	72.05015094
47	71.76234973
48	71.45439868
49	71.14459272
50	70.84202664
51	70.53948537
52	70.24073183
53	69.95159978
54	69.64917337
55	69.36814134
56	69.08358781
57	68.80038995
58	68.50650833
59	68.22587402
60	67.94748376
61	67.68245328
62	67.41473811
63	67.13239999
64	66.85275509
65	66.57189164
66	66.29959983
67	66.02993518
68	65.76986682
69	65.50727748
70	65.23969713
71	64.97091757
72	64.72914454
73	64.47913551
74	64.21253005
75	63.96223023
76	63.70696192
77	63.46056181
78	63.2153906
79	62.97086276
80	62.71962551
81	62.45145289
82	62.19456566
83	61.95106526
84	61.7008727
85	61.46485055
86	61.2086864
87	60.97136044
88	60.73257019
89	60.48510831
90	60.25004868
91	60.00724627
92	59.77517305
93	59.54093905
94	59.32098519
95	59.08722616
96	58.85450428
97	58.64617687
98	58.43203592
99	58.20269619
100	57.98685692
101	57.77402657
102	57.56238165
103	57.34609698
104	57.13998852
105	56.90904104
106	56.68237307
107	56.46767078
108	56.24562102
109	56.0346323
110	55.81258042
111	55.59358639
112	55.37431201
113	55.17264621
114	54.96142672
115	54.75866551
116	54.54835322
117	54.34362058
118	54.146857
119	53.93812028
120	53.72519446
121	53.51546141
122	53.31973536
123	53.11549536
124	52.92683685
125	52.74042095
126	52.53850619
127	52.34183019
128	52.15192939
129	51.96727304
130	51.77721224
131	51.58568477
132	51.39688666
133	51.20371593
134	51.01786871
135	50.84144939
136	50.6503747
137	50.46489774
138	50.2889474
139	50.10296507
140	49.91591436
141	49.74986187
142	49.56736368
143	49.39328568
144	49.21127085
145	49.04130131
146	48.86371887
147	48.68979901
148	48.50334959
149	48.32794897
150	48.15236026
151	47.97801965
152	47.79854767
153	47.63409295
154	47.47521304
155	47.29834719
156	47.13511653
157	46.96698223
158	46.80415681
159	46.64165866
160	46.47749114
161	46.32243032
162	46.16548193
163	46.01278968
164	45.85790256
165	45.70530229
166	45.55357027
167	45.40896551
168	45.25831559
169	45.11248305
170	44.96030454
171	44.81160919
172	44.66360446
173	44.51697699
174	44.35982404
175	44.20887173
176	44.05827207
177	43.91316309
178	43.76959609
179	43.62721063
180	43.48971949
181	43.34206406
182	43.19686741
183	43.06752601
184	42.92857377
185	42.7946075
186	42.6597902
187	42.53561207
188	42.40857821
189	42.26816328
190	42.13548805
191	42.00731267
192	41.86832752
193	41.73246011
194	41.59239747
195	41.47097713
196	41.33951136
197	41.20237808
198	41.07050525
199	40.94000964
200	40.81208157
201	40.6786474
202	40.54777056
203	40.4323596
204	40.3003619
205	40.16731769
206	40.04442497
207	39.92765782
208	39.80018352
209	39.6767746
210	39.5443336
211	39.42810368
212	39.3037749
213	39.18153766
214	39.06929999
215	38.94505415
216	38.83137223
217	38.71848394
218	38.60156826
219	38.48645025
220	38.37015431
221	38.25566214
222	38.14549845
223	38.030587
224	37.9264385
225	37.81460499
226	37.72655818
227	37.62495742
228	37.51253677
229	37.4205827
230	37.31409946
231	37.20782403
232	37.1002227
233	36.98975442
234	36.88447498
235	36.77571239
236	36.6764768
237	36.56852543
238	36.46477228
239	36.36627733
240	36.26767389
241	36.17066957
242	36.0668008
243	35.97975048
244	35.88121507
245	35.78662696
246	35.70610442
247	35.60209822
248	35.49678553
249	35.39751465
250	35.2987253
251	35.20019324
252	35.10419107
253	35.01235667
254	34.91179094
255	34.81894949
256	34.72401746
257	34.6330828
258	34.5350077
259	34.45294406
260	34.36708644
261	34.28066409
262	34.18692167
263	34.09851692
264	34.01794494
265	33.93129177
266	33.85039845
267	33.76338059
268	33.67543654
269	33.58647235
270	33.501378
271	33.41267099
272	33.32438762
273	33.24134477
274	33.1642754
275	33.08385733
276	33.00089066
277	32.91424899
278	32.82837977
279	32.74588069
280	32.66168959
281	32.58085047
282	32.50494041
283	32.42154489
284	32.33834624
285	32.26294454
286	32.1826621
287	32.1128051
288	32.0410424
289	31.96141328
290	31.88152905
291	31.81567641
292	31.74490476
293	31.66612252
294	31.58722536
295	31.51084722
296	31.4378087
297	31.36924238
298	31.29597059
299	31.22394871
300	31.1561496
301	31.08474887
302	31.00983354
303	30.94107619
304	30.86838073
305	30.80331574
306	30.7351237
307	30.66534512
308	30.59643097
309	30.52564412
310	30.45784601
311	30.39000945
312	30.3193423
313	30.24900967
314	30.18161048
315	30.11492236
316	30.0499092
317	29.98422467
318	29.9192434
319	29.85737326
320	29.79410502
321	29.72810024
322	29.66758521
323	29.60182079
324	29.5411678
325	29.47840647
326	29.41612879
327	29.35501744
328	29.29281389
329	29.2333483
330	29.17548767
331	29.11143305
332	29.05103615
333	28.98947055
334	28.93464021
335	28.87259014
336	28.81021869
337	28.75306178
338	28.68906374
339	28.63169769
340	28.57569613
341	28.52331179
342	28.46662805
343	28.4125714
344	28.35573362
345	28.30514606
346	28.24666179
347	28.1930811
348	28.13906016
349	28.0919991
350	28.03294702
351	27.98220997
352	27.92901953
353	27.8735371
354	27.82273269
355	27.77093212
356	27.72562205
357	27.67234713
358	27.62047189
359	27.56755098
360	27.51765558
361	27.46912908
362	27.42266324
363	27.37469654
364	27.3238576
365	27.27405033
366	27.22338462
367	27.17268988
368	27.12283797
369	27.07323372
370	27.02390186
371	26.97581986
372	26.93092635
373	26.88389017
374	26.83706273
375	26.79344078
376	26.74587369
377	26.70012306
378	26.6526559
379	26.6062678
380	26.56010843
381	26.51600041
382	26.47112889
383	26.42707026
384	26.38010472
385	26.3357541
386	26.28900638
387	26.25006769
388	26.20984156
389	26.16615501
390	26.12581432
391	26.0824441
392	26.04070386
393	26.00081676
394	25.95816202
395	25.91577029
396	25.87344305
397	25.8307412
398	25.78909573
399	25.74527347
400	25.70734345
401	25.66971862
402	25.62785721
403	25.59054692
404	25.54846758
405	25.50983518
406	25.46896059
407	25.4334279
408	25.39276957
409	25.35291883
410	25.3116513
411	25.27327495
412	25.23581732
413	25.19701651
414	25.15934906
415	25.12206487
416	25.08338232
417	25.0451899
418	25.00772402
419	24.96898199
420	24.93282145
421	24.89725001
422	24.86151682
423	24.8247529
424	24.7873572
425	24.75088137
426	24.71544321
427	24.67932779
428	24.64734226
429	24.61018121
430	24.57638505
431	24.54247417
432	24.50831732
433	24.47546254
434	24.43890846
435	24.4014487
436	24.36934195
437	24.33489709
438	24.30223113
439	24.26967383
440	24.23470152
441	24.20238066
442	24.16926613
443	24.1371398
444	24.10374881
445	24.07007233
446	24.03868509
