iter	Passed	Remaining
0	27	27793
1	54	26989
2	78	26004
3	103	25732
4	123	24578
5	144	23950
6	165	23456
7	185	23056
8	206	22791
9	226	22470
10	248	22302
11	268	22143
12	291	22125
13	312	21995
14	332	21841
15	353	21768
16	373	21614
17	393	21468
18	413	21327
19	433	21221
20	453	21143
21	475	21124
22	495	21049
23	516	20988
24	536	20923
25	557	20874
26	577	20811
27	598	20763
28	618	20706
29	638	20635
30	658	20585
31	678	20533
32	699	20499
33	720	20463
34	740	20416
35	761	20393
36	783	20381
37	803	20344
38	825	20352
39	848	20367
40	872	20405
41	895	20431
42	918	20436
43	941	20464
44	966	20502
45	989	20524
46	1013	20542
47	1044	20720
48	1075	20875
49	1106	21017
50	1135	21133
51	1160	21151
52	1187	21216
53	1208	21172
54	1229	21131
55	1254	21140
56	1274	21088
57	1295	21041
58	1315	20980
59	1335	20925
60	1356	20874
61	1376	20828
62	1397	20778
63	1418	20740
64	1439	20707
65	1459	20659
66	1481	20634
67	1501	20585
68	1522	20544
69	1542	20491
70	1562	20442
71	1582	20391
72	1602	20352
73	1623	20311
74	1643	20268
75	1663	20229
76	1684	20189
77	1704	20145
78	1725	20112
79	1745	20071
80	1765	20030
81	1785	19987
82	1805	19944
83	1825	19902
84	1845	19865
85	1865	19823
86	1886	19792
87	1906	19755
88	1925	19712
89	1946	19678
90	1966	19646
91	1987	19615
92	2007	19579
93	2027	19541
94	2047	19509
95	2068	19473
96	2088	19440
97	2108	19408
98	2128	19370
99	2148	19340
100	2168	19305
101	2189	19275
102	2209	19244
103	2230	19212
104	2250	19182
105	2270	19151
106	2291	19121
107	2312	19096
108	2332	19068
109	2353	19044
110	2374	19015
111	2397	19008
112	2429	19066
113	2453	19067
114	2480	19085
115	2527	19261
116	2568	19384
117	2600	19437
118	2622	19417
119	2645	19403
120	2669	19392
121	2697	19415
122	2720	19397
123	2742	19375
124	2765	19361
125	2788	19339
126	2810	19318
127	2833	19302
128	2856	19283
129	2878	19263
130	2901	19247
131	2924	19231
132	2946	19207
133	2968	19182
134	2989	19157
135	3012	19138
136	3035	19118
137	3057	19098
138	3079	19076
139	3101	19052
140	3124	19035
141	3146	19011
142	3168	18986
143	3189	18962
144	3212	18942
145	3234	18920
146	3259	18911
147	3283	18900
148	3309	18900
149	3334	18897
150	3359	18891
151	3384	18883
152	3410	18877
153	3434	18866
154	3458	18855
155	3480	18832
156	3503	18809
157	3524	18785
158	3546	18760
159	3569	18737
160	3590	18712
161	3612	18687
162	3634	18664
163	3657	18642
164	3678	18616
165	3700	18591
166	3722	18566
167	3743	18541
168	3766	18520
169	3787	18494
170	3811	18476
171	3833	18456
172	3856	18436
173	3879	18416
174	3901	18394
175	3924	18371
176	3946	18349
177	3968	18326
178	3990	18302
179	4013	18281
180	4035	18261
181	4058	18238
182	4080	18218
183	4103	18197
184	4125	18173
185	4148	18153
186	4170	18131
187	4193	18110
188	4215	18088
189	4238	18067
190	4259	18042
191	4281	18018
192	4303	17996
193	4326	17974
194	4348	17953
195	4371	17930
196	4393	17909
197	4416	17889
198	4440	17873
199	4463	17854
200	4489	17844
201	4515	17840
202	4538	17819
203	4560	17794
204	4583	17774
205	4605	17750
206	4627	17725
207	4649	17703
208	4671	17680
